latitude,longitude,salinity,pressure,tritium
28,-76.83333333,35.138,1.147025258,0.59
28,-76.83333333,35.113,0.529365688,4.81
28,-76.83333333,36.637,0.288223382,4.43
28,-76.83333333,36.531,0.049354672,4.3
28,-76.83333333,35.122,1.099452393,0.51
28,-76.83333333,35.272,1.045818539,0.81
28,-76.83333333,35.113,0.987139627,1.13
28,-76.83333333,35.179,0.964886135,1.63
28,-76.83333333,36.197,0.8758943,4.98
28,-76.83333333,36.365,0.795023332,5.27
28,-76.83333333,36.44,0.722264433,5.39
28.01666667,-70.01666667,34.957,3.068529309,0.24
28.01666667,-70.01666667,34.965,2.633976917,0.07
28.01666667,-70.01666667,35.053,1.724783157,0.14
28.01666667,-70.01666667,35.069,1.453963678,0.32
28.01666667,-70.01666667,35.115,0.905218403,0.35
28,-68,35.01,1.679114219,0.58
28,-68,35.046,1.372881461,0.61
28,-68,34.883,1.029629715,0.45
28,-68,35.123,0.887016344,0.85
28,-68,35.32,0.786937842,2.18
28,-68,35.577,0.71418157,3.74
28,-66,35.141,1.361735215,0.5
28,-66,35.118,1.114634122,0.31
28,-66,35.201,0.947691772,0.83
28,-66,35.461,0.867805888,1.5
28,-66,35.572,0.763693685,1.62
28,-66,36.023,0.63740892,3.98
28,-66,36.354,0.475868232,4.99
28,-66,36.672,0.129957046,5.81
28,-66,34.971,2.761394631,0.06
28,-66,35.05,1.654762458,0.18
33,-64,35.012,1.786410242,0.46
33,-64,35.067,1.415005394,1.06
33,-64,35.1,1.319716994,0.91
33,-64,35.236,1.121161253,1.09
33,-64,35.138,0.937957686,0.9
33,-64,35.239,0.865122844,0.99
33,-64,35.385,0.837815892,1.25
33,-64,35.439,0.754904092,1.94
33,-64,35.989,0.576040566,4.07
33,-64,36.568,0.13807456,4.96
33,-64,35.034,2.111643908,0.18
31.98333333,-60,35.01,3.046023919,0.25
31.98333333,-60,35.012,2.867368358,0.12
31.98333333,-60,35.047,1.547736292,0.27
31.98333333,-60,35.091,1.570055077,0.85
31.98333333,-60,35.091,1.359130309,1.02
31.98333333,-60,35.526,1.106890845,1.31
31.98333333,-60,35.189,0.967218028,1.02
31.98333333,-60,35.526,0.891345469,1.29
31.98333333,-60,35.594,0.787189076,2.31
31.98333333,-60,36.058,0.656809116,3.83
31.98333333,-60,36.352,0.508329088,4.83
31.98333333,-60,36.59,0.20359678,4.8
30.98333333,-62.01666667,35.572,0.84879802,1.5
30.98333333,-62.01666667,35.69,0.691108458,2.63
30.98333333,-62.01666667,36.566,0.463866997,4.04
29.96666667,-60.98333333,35.353,0.80222222,1.33
29.96666667,-60.98333333,35.584,0.710249849,2.71
29.96666667,-60.98333333,36.056,0.552670763,4.5
29.96666667,-60.98333333,36.738,0.15315916,5.1
29.03333333,-60.03333333,34.961,3.072858919,0.05
29.03333333,-60.03333333,35.039,1.700561275,0.06
29.03333333,-60.03333333,35.07,1.557507468,0.15
29.03333333,-60.03333333,35.098,1.366911645,0.41
29.03333333,-60.03333333,35.113,1.095492176,0.4
29.03333333,-60.03333333,35.133,0.875964652,0.58
29.03333333,-60.03333333,35.385,0.791044058,1.23
29.03333333,-60.03333333,35.57,0.687969488,2.51
29.03333333,-60.03333333,36.009,0.571814832,3.87
29.03333333,-60.03333333,36.337,0.397191171,5.15
29.03333333,-60.03333333,36.709,0.146092688,4.9
28.5,-61,35.328,0.802129348,0.99
28.5,-61,35.548,0.690971632,2.1
28.5,-61,36.043,0.579869064,4.11
28.5,-61,36.727,0.061445549,5.08
28,-62,35.035,1.657806283,0.09
28,-62,35.079,1.523917279,0.16
28,-62,35.118,1.411390955,0.32
28,-62,35.096,1.153099118,0.32
28,-62,35.246,0.9527488,0.64
28,-62,35.361,0.844553332,1.05
28,-62,35.599,0.718222965,2.82
28,-62,36.062,0.560662573,4.51
28,-62,36.751,0.138018875,4.98
27.5,-63.01666667,35.348,0.790950367,0.63
27.5,-63.01666667,35.566,0.680816877,1.68
27.5,-63.01666667,36.026,0.564679672,4.29
27.5,-63.01666667,36.728,0.088641343,4.88
27,-63.95,35.369,0.918293561,0.24
27,-63.95,35.623,0.810122954,0.66
27,-63.95,35.765,0.687862125,1.74
27,-63.95,36.059,0.579802754,3.97
27,-63.95,36.353,0.157154991,4.86
27,-63.95,34.942,2.948865887,0.08
27,-63.95,34.962,2.675554899,0.06
27,-63.95,35.156,1.603916051,0.13
27,-63.95,35.124,1.445742459,0.31
26.51666667,-65.01666667,35.26,0.892983224,0.31
26.51666667,-65.01666667,35.321,0.810093799,0.66
26.51666667,-65.01666667,35.801,0.708040452,1.35
26.51666667,-65.01666667,36.033,0.590888014,3.45
26.51666667,-65.01666667,36.459,0.412247489,4.75
26.51666667,-65.01666667,36.66,0.207541017,5.15
26,-66,35.114,3.022124415,0.07
26,-66,34.941,2.644784106,0.03
26,-66,35.059,2.60708534,0.01
26,-66,35.063,1.322022662,0.23
26,-66,35.091,1.08309721,0.28
26,-66,35.063,0.894971308,0.3
26,-66,35.213,0.801978221,0.35
26,-66,35.394,0.718115416,0.66
26,-66,35.567,0.575721628,1.46
26,-66,36.077,0.452588625,3.7
23.01666667,-60,35.032,3.327846635,0.09
23.01666667,-60,35.008,2.717590845,0.07
23.01666667,-60,36.494,0.405085888,4.92
23.01666667,-60,37.265,0.184314152,5.16
23.01666667,-60,35.059,1.738364793,0.07
23.01666667,-60,35.083,1.534519997,0.17
